source,source_row_id,person_id,reference_year,source_code,level_min,level_max,qa_status,qa_reason
zensus_like_2022,1,P015976,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,2,P017972,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,3,P037468,2022,DOCTORATE,6,6,usable,valid_evidence
zensus_like_2022,4,P034655,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,5,P011452,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,6,P023431,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,7,P043276,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,8,P008476,2022,MASTER_EQ,5,5,usable,valid_evidence
zensus_like_2022,9,P017250,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,10,P008266,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,11,P022194,2021,VOC_POSTSEC,3,3,rejected,invalid_reference_year
zensus_like_2022,12,P003836,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,13,P028917,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,14,P022432,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,15,P019597,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,16,P041864,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,17,P001279,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,18,P014347,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,19,P006124,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,20,P049375,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,21,P008979,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,22,P012566,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,23,P000169,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,24,P041535,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,25,P029899,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,26,P002327,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,27,P022709,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,28,P006541,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,29,P032281,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,30,P029311,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,31,P022918,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,32,P000360,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,33,P041881,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,34,P023734,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,35,P036281,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,36,P015322,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,37,P041212,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,38,P000713,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,39,P027100,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,40,P038453,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,41,P015934,2022,SCHOOL,2,2,usable,valid_evidence
